,0,1,2,3,4,5,6,7,8,9
2,0.5225958030073732,0.45461074686524366,0.4224291524786287,0.5376302826444358,0.38541595019409786,0.3968730914362346,0.3503621560442537,0.47476619735215875,0.5122755776086854,0.3133696769301844
3,0.399343830649093,0.56003247393785,0.5013154035366212,0.5696528738229001,0.45783405203229754,0.4166401725007558,0.4044023223895001,0.4503337731556795,0.5082135823962832,0.4499305968880793
4,0.528978770809451,0.5542109191149518,0.5370224684609722,0.6321287949812489,0.48984129957692474,0.40032755166083944,0.5626342966782105,0.5361990279203623,0.5348746523674875,0.4664298093999533
5,0.407644649592697,0.5870650226580715,0.5231025694295152,0.6567951403136363,0.6754551262034719,0.4973214483451607,0.6722368640945449,0.5741371513690754,0.5160246843381022,0.678003036752232
6,0.4560678188586623,0.6053345971947235,0.6267877647712978,0.6619040773946552,0.5538795311552677,0.46608779257224475,0.727313998190253,0.607460741044203,0.5932739895512458,0.641924497213893
7,0.519041169126613,0.665707508237445,0.6211010728463032,0.6678898568085694,0.5710870367154245,0.5405102228510743,0.6723864856444742,0.6595681475339239,0.646451887073659,0.6697462613205881
8,0.5792567889034272,0.6344185740844105,0.614631843078196,0.6999817637911735,0.6343749230164897,0.5636781774672188,0.6678831170915307,0.7242216764191042,0.7161124950418241,0.6953280579903873
9,0.5925037148890125,0.7117067725600686,0.7135630891818485,0.6858191171234422,0.7031792293069257,0.578547379158744,0.7046896130143667,0.7134401274508062,0.7525457509026047,0.7225177562416599
10,0.702519357517637,0.6951434446978666,0.708892721046234,0.6917293293210649,0.6537684019095008,0.6762291855486666,0.7651925570216338,0.7299013496566085,0.6888522151729208,0.6675579906827325
15,0.7961496005676632,0.7747833336437646,0.7896160440924428,0.7683596104999947,0.7785135501888896,0.7548358993060574,0.7830158327708704,0.8035914549006163,0.7739390527402897,0.6755805649281164
20,0.7654280395530252,0.8412308768526513,0.8092904014931676,0.7735579885993655,0.8329009295205169,0.8369937668760211,0.8439519542819519,0.8212824831782909,0.8220801461054837,0.8265688849540092
25,0.851411928306643,0.8436899016879298,0.8271124562595715,0.849876450112514,0.8168443523573096,0.7834644509167755,0.8494766487864561,0.8359021794722924,0.8586719306861106,0.8422113632171508
30,0.8528096938779134,0.8572367775636405,0.8804356123497216,0.879929935617515,0.8796163379517447,0.8283266859531986,0.8985916285182735,0.8622318667156659,0.8676081316599098,0.8230041972754308
35,0.8573771205930937,0.8501248661118657,0.8644396036303637,0.8853827839517162,0.8784597744467838,0.8671999254738879,0.8994361681269492,0.854346344901726,0.899650493821774,0.8532895223515717
40,0.9137110009939775,0.8777809378446135,0.8790301760190916,0.9127072363179521,0.8878888491911364,0.8966899769566667,0.9034997088363537,0.8788911927590191,0.9125650247886229,0.8558894538707023
45,0.8988194940676743,0.9069248113134749,0.9113786920578657,0.9255243996827616,0.925985920019047,0.8886930539647893,0.9119259456307515,0.8980237372206337,0.921875822450314,0.8983821628851814
50,0.9069573933081057,0.9187987557288346,0.8898692105142886,0.9087187171239082,0.9190147311629506,0.9163498858551716,0.9167470548589556,0.8922007399986168,0.9180810108583823,0.9154251715459045
55,0.9211022918331889,0.9117179934974688,0.9244244889868743,0.9025225653016525,0.9321425059021599,0.9350512307345922,0.905122281275994,0.9052013502940209,0.9354454357748607,0.9030610027050028
60,0.9324663816967598,0.9279722685192322,0.9320616571518197,0.9310476702201324,0.9339710555193727,0.9234190674901191,0.9292137768628027,0.9126509466145958,0.9220810383298715,0.9309122839997379
