,0,1,2,3,4,5,6,7,8,9
2,0.8202818086266578,0.16453469302195228,0.11700538047918894,0.8440920072810315,0.3180585744285256,0.7637335720457454,0.2573316001963946,0.6123866159631659,0.6861375231510137,0.8556243842725569
3,0.6346788940189049,0.6226483166209901,0.841193561249519,0.8407327634261137,0.3170800002176232,0.8250417492196533,0.43023460911928463,0.6731176798327888,0.9138867626219905,0.400514337054857
4,0.9350093963760919,0.913685843358205,0.8527292733251784,0.7164621592230622,0.8141491745600894,0.9061625245323781,0.8359798728164359,0.5488973640560163,0.72316352738534,0.869281327547711
5,0.9029180018895556,0.9053338302270069,0.8902460004222293,0.8523194690223972,0.4571632124626146,0.9058848203605783,0.9193326795369431,0.9184979631030371,0.7574819310316889,0.9174503648508543
6,0.856861427171617,0.9002697525495549,0.8837633323582541,0.8237712050679349,0.757549130821372,0.9306468953327017,0.9068939356959561,0.91315984756846,0.9029615304748712,0.8542755365323994
7,0.9472305707132473,0.9140782457627958,0.8985082881784725,0.8918824212926638,0.5142405126069297,0.8778082818031739,0.9497459675846038,0.8904728163881589,0.7431273968137976,0.962614810658055
8,0.9393843468030525,0.9370318929141719,0.9589001079184206,0.7954115687517144,0.816935292827547,0.9179851013772727,0.9246668231352938,0.8201730296587417,0.6739787491718296,0.9194765736365192
9,0.93073643402026,0.9355710658604199,0.9546641183417534,0.931383286450428,0.9116097312404904,0.9168296150798455,0.6681798701638161,0.8616467990289288,0.9538635414132318,0.8814767999869138
10,0.9645598658505169,0.8363855892686041,0.9457112359269688,0.9590474409894046,0.9344118609165252,0.8974286037719312,0.8759926797555904,0.8014610408911843,0.9364334937696349,0.9554312343112712
15,0.9678530487138383,0.9324780576940981,0.9285764383882051,0.97326787895154,0.936520227408311,0.9425510908790447,0.950242456326537,0.8604258015056117,0.9754772237633277,0.9218399291178597
20,0.9634333543731762,0.9583065046293722,0.9652652807115991,0.965235907551228,0.9672616052174073,0.9722557095352186,0.9750552624775112,0.9662652228670046,0.9694005304390333,0.9230678221589443
25,0.9885915366036563,0.95153570176819,0.9651556380478844,0.8844485995266589,0.9738780850485173,0.9808786092473861,0.9744909244319176,0.9696272793949461,0.9621356862026241,0.9758736090921808
30,0.9895919528329649,0.9852839637875835,0.980416776602395,0.9827185668625089,0.9811643656198351,0.9844707897352947,0.9879704224428943,0.9814986235925394,0.9780077737662161,0.9399845454968454
35,0.983303206240339,0.9674284595671295,0.9728693220171092,0.9798208174374409,0.9826617502789041,0.9838072642112945,0.9690163427048201,0.9593148469867002,0.9821745977379929,0.9774879278161854
40,0.9836242530335098,0.9837790284613154,0.9908762577456605,0.9871706165390765,0.9685011322887801,0.9846211840416966,0.9918940340249333,0.9782619785886125,0.9708610151742408,0.9513440455803099
45,0.9774789741183828,0.9831032531375529,0.9847766556267734,0.9898272233444217,0.978953525457856,0.9805442107276385,0.9853366001674467,0.9896951493053427,0.9896087125485011,0.9899442157364542
50,0.9718666265121765,0.9876133751928691,0.9899173292063141,0.9779273186936797,0.9820024397764479,0.9897412449846285,0.9779593435182292,0.9515652576654166,0.9875030252284359,0.9863627952000256
55,0.9911176913009354,0.9871552606731095,0.9889325806696851,0.9876274703739432,0.9836968227296361,0.9883551102433926,0.9922886414547148,0.9557074136705385,0.9847882781373047,0.9874683095937336
60,0.9825868053995572,0.9851429156885856,0.9853237304211656,0.9789621845994114,0.9849811634932804,0.992983708486513,0.9895038825965428,0.9781107812413707,0.9889554963623457,0.9906952387708875
