,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.0969973087310791,0.015113189087816607,0.0,0.0,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.4796517671517671,0.5873180873180873,0.461645299145299,0.5277777777777776,0.6041666666666665,0.531740636240636,0.05655465881871974,25,0.5731520778072502,0.5513572060123786,0.5616596417281349,0.5263645080019176,0.5244673038280684,0.5474001474755499,0.019238330750024075
1,0.04999475479125977,0.022953493202499183,0.003124380111694336,0.006248760223388672,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.44113825363825365,0.5940748440748442,0.49551282051282064,0.556286549707602,0.5939327485380117,0.5355318650055493,0.06003852360395484,21,0.5883244916003537,0.5432228116710877,0.522748507200562,0.5678628742983235,0.5318856951485293,0.5508088759837713,0.02408850229687624
2,0.08714981079101562,0.02084814854054791,0.00019922256469726563,0.0003984451293945312,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.49789501039501044,0.588331600831601,0.5471153846153847,0.5624999999999998,0.6041666666666665,0.5595420750420751,0.03703738780038465,4,0.584319186560566,0.5383952254641912,0.5520828942746752,0.5759293920446625,0.5450322490709479,0.5591517894830085,0.01786085929712086
3,0.08785595893859863,0.02103654579550488,0.0,0.0,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.4989085239085239,0.5919958419958421,0.5365384615384616,0.5902777777777775,0.5639619883040935,0.5559746021324968,0.035403417714946754,8,0.5933244916003537,0.5494916003536695,0.5822602739726027,0.5590662049456508,0.583055807722777,0.5734396757190108,0.01640601003703662
4,0.08109059333801269,0.011682963718259743,0.0033307552337646486,0.0061740447687513526,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.5045997920997921,0.5873180873180873,0.5123931623931625,0.5493421052631577,0.5917397660818713,0.5487976455344876,0.036475734836064574,9,0.5894606542882406,0.5464677276746244,0.5616596417281349,0.5500425850936872,0.5789842987654573,0.5653229815100289,0.0165631519131908
5,0.05310897827148438,0.012498011282384466,0.0,0.0,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 7}",0.3672297297297298,0.47398648648648645,0.40395299145299135,0.453581871345029,0.44042397660818716,0.4275333560859876,0.03830553041099619,82,0.4238992042440318,0.41428381962864735,0.4710449596066034,0.41522888850355466,0.4218181029998266,0.4292549949965328,0.021219145857053465
6,0.02787294387817383,0.01161094614958547,0.0,0.0,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.4199064449064449,0.46413721413721415,0.37361111111111106,0.4320175438596489,0.41812865497076024,0.421753893569683,0.029271172527048476,89,0.45569849690539355,0.3994385499557914,0.42208465050930805,0.4177317190097818,0.41972922340429153,0.4229365279569133,0.018240636575391433
7,0.037490224838256835,0.033647968819757484,0.0031241893768310545,0.006248378753662109,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",0.2692307692307693,0.25,0.47435897435897434,0.5230263157894733,0.27083333333333337,0.3559205706574127,0.11615221679070661,105,0.26,0.26500000000000007,0.5481524411661399,0.4665826014817233,0.25980392156862747,0.35990779284329816,0.12314658231361242
8,0.024994516372680665,0.007644170636237946,0.0,0.0,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",0.39391891891891895,0.3584459459459459,0.37499999999999994,0.33771929824561386,0.43421052631578955,0.3797471381155591,0.032536750316137716,101,0.43446065428824054,0.37358532272325384,0.40845626975763966,0.3831064678342292,0.3833665684064505,0.3965950566019627,0.022185015869799544
9,0.07469682693481446,0.007618708109629402,0.00020580291748046876,0.0004116058349609375,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 5}",0.458393970893971,0.4776507276507276,0.4644230769230769,0.48611111111111094,0.4444444444444445,0.4662360327360327,0.014460966842225548,60,0.5272502210433245,0.4686295313881522,0.528877766069547,0.4960377162829758,0.4330844527857961,0.4907759375139591,0.03641038238882713
10,0.037491130828857425,0.015933770064237473,0.0,0.0,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 6}",0.5592515592515592,0.5602910602910602,0.34903846153846146,0.5208333333333331,0.5763888888888887,0.5132882057882058,0.08407924280328302,33,0.5792175066312998,0.5660742705570293,0.41457850368809274,0.4894990768979692,0.5711868066109744,0.5241112328770731,0.06357535322102348
