1,5.782991878887952
2,2.764145948248691
3,2.1541887414123053
4,1.7546526867382235
5,1.5404136827046853
6,1.3921079193323171
7,1.2656714493596433
8,1.2127494098343166
9,1.1352327161684457
10,1.0845309629934374
11,1.0534440264404368
12,1.0361003805833429
13,0.9704501688024969
14,0.9406071761009122
15,0.8993073526175132
16,0.882916687347037
17,0.8577184243620881
18,0.8329937003570386
19,0.8178490762291735
20,0.7884442303866602
21,0.7777273686138849
22,0.7364297666320068
23,0.7135343624623629
24,0.6847856351996652
25,0.6738225185821535
26,0.641851083123754
27,0.6255847788243528
28,0.565415875125013
29,0.5559640508115967
30,0.54494086422234
31,0.5286862530398863
32,0.4834915902276108
33,0.46660065932606337
34,0.4538424676245386
35,0.41441760470603445
36,0.29214564276563637
37,0.2839420545649448
38,0.2460738682771566
39,0.14979916156824935
