,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.1440742015838623,0.01562707855263407,0.009365510940551759,0.007646945632408361,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.3506756756756757,0.47398648648648645,0.3372863247863247,0.4404239766081869,0.42105263157894735,0.40447465076412437,0.05288412288390356,313,0.3930371352785146,0.43222811671087547,0.3563136635054443,0.42082785082127183,0.4190904469989834,0.4042994426630179,0.027208261570950545
1,0.14655189514160155,0.015537389450454008,0.0010035037994384766,0.002007007598876953,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.4526507276507277,0.4682432432432433,0.40555555555555545,0.453581871345029,0.5500730994152045,0.4655479794427162,0.04659853794396741,284,0.5513881520778073,0.4223474801061009,0.4307604495960661,0.4137766603086527,0.49723791892342156,0.4631021322024097,0.053102921801618345
2,0.1729257583618164,0.02782626569762043,0.004122161865234375,0.006065837049167261,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.5218295218295218,0.601819126819127,0.538568376068376,0.5902777777777776,0.5932017543859649,0.5687974206132101,0.032653247811281046,1,0.5694518125552609,0.5583244916003538,0.5709589041095889,0.5443603225927097,0.5825687566512646,0.5651328575018356,0.012918659557226478
3,0.16970624923706054,0.025758615047600984,0.009378957748413085,0.007657895857011679,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.5362785862785864,0.6008056133056133,0.5623931623931624,0.5624999999999998,0.5778508771929823,0.5679469811048758,0.021433761262485744,2,0.6041467727674624,0.5660123784261717,0.6027133825079031,0.5583441283570825,0.5873109170840176,0.5837055158285275,0.018699679060202996
4,0.16301722526550294,0.01846574328909947,0.006252193450927734,0.007657358545790918,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.5015592515592515,0.567047817047817,0.5001068376068377,0.4791666666666665,0.5624999999999999,0.5222300597300596,0.0356980510889065,81,0.5442793987621576,0.5296242263483645,0.5065349490691956,0.5067566648646626,0.533490923680032,0.5241372325448824,0.015068045760620092
5,0.1378702163696289,0.015805048498119728,0.0031335830688476564,0.006267166137695313,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.4525727650727651,0.6008316008316009,0.5306623931623933,0.5771198830409354,0.611111111111111,0.5536891127680601,0.05842804004256978,10,0.5774314765694075,0.5275641025641027,0.5711661397962767,0.5641279660815254,0.5555663222459089,0.5591712014514443,0.017400514722494584
6,0.1537937641143799,0.022568866482814778,0.006254386901855469,0.007660034944123609,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.4525727650727651,0.6008316008316009,0.5306623931623933,0.5771198830409354,0.611111111111111,0.5536891127680601,0.05842804004256978,10,0.5774314765694075,0.5275641025641027,0.5711661397962767,0.5641279660815254,0.5555663222459089,0.5591712014514443,0.017400514722494584
7,0.14108405113220215,0.01067969423861847,0.0,0.0,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.4525727650727651,0.6008316008316009,0.5306623931623933,0.5771198830409354,0.611111111111111,0.5536891127680601,0.05842804004256978,10,0.5774314765694075,0.5275641025641027,0.5711661397962767,0.5641279660815254,0.5555663222459089,0.5591712014514443,0.017400514722494584
8,0.13823118209838867,0.019051021714489674,0.009379863739013672,0.007658636101556704,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.4525727650727651,0.6008316008316009,0.5306623931623933,0.5771198830409354,0.611111111111111,0.5536891127680601,0.05842804004256978,10,0.5774314765694075,0.5275641025641027,0.5711661397962767,0.5641279660815254,0.5555663222459089,0.5591712014514443,0.017400514722494584
9,0.13172507286071777,0.015839374471783765,0.006254243850708008,0.00765985851309461,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.4525727650727651,0.6008316008316009,0.5306623931623933,0.5771198830409354,0.611111111111111,0.5536891127680601,0.05842804004256978,10,0.5774314765694075,0.5275641025641027,0.5711661397962767,0.5641279660815254,0.5555663222459089,0.5591712014514443,0.017400514722494584
10,0.12843704223632812,0.01847492381469841,0.006255531311035156,0.007661435056423063,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.4525727650727651,0.6008316008316009,0.5306623931623933,0.5771198830409354,0.611111111111111,0.5536891127680601,0.05842804004256978,10,0.5774314765694075,0.5275641025641027,0.5711661397962767,0.5641279660815254,0.5555663222459089,0.5591712014514443,0.017400514722494584
