,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.04373931884765625,0.011690143278321836,0.006248855590820312,0.007653253836923836,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.25,0.25,0.2499999999999999,0.24999999999999983,0.2152777777777778,0.2432539682539682,0.013737840772312477,373,0.2514809902740937,0.24630857648099033,0.25,0.25,0.23723339691347317,0.24700459273371145,0.005175785364616713
1,0.047660303115844724,0.018577877607060922,0.0,0.0,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 3}",0.25,0.25,0.2499999999999999,0.24999999999999983,0.25,0.24999999999999997,7.480041190591211e-17,276,0.25,0.25000000000000006,0.25,0.25,0.25,0.25,2.482534153247273e-17
2,0.05936074256896973,0.0062481165375763295,0.0,0.0,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",0.25000000000000006,0.25,0.35555555555555546,0.24999999999999983,0.43274853801169594,0.3066165413533834,0.07423966443324312,6,0.25,0.25000000000000006,0.33372848612574635,0.25,0.4328073521761748,0.30330716766038424,0.07241645776853728
3,0.07837915420532227,0.02403027355975574,0.0,0.0,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.25,0.22297297297297294,0.27724358974358965,0.24999999999999983,0.24305555555555558,0.24853966603966593,0.017491302006880375,316,0.25,0.24931034482758627,0.326986301369863,0.25,0.25,0.26525932923948986,0.03086464183713285
4,0.08085732460021973,0.009085409954028529,0.0001994609832763672,0.00039892196655273444,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 6}",0.25,0.25,0.29220085470085466,0.24999999999999983,0.25,0.2584401709401709,0.01688034188034188,77,0.25,0.25000000000000006,0.2573287671232876,0.25,0.25,0.2514657534246575,0.002931506849315041
5,0.11237554550170899,0.04114590207045095,0.0,0.0,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",0.25,0.24324324324324323,0.2499999999999999,0.24999999999999983,0.27083333333333337,0.25265765765765763,0.009308806777097894,137,0.25,0.2598275862068966,0.25328767123287665,0.2549019607843137,0.2580915928015041,0.2552217622051182,0.003480210446273805
6,0.12859148979187013,0.04271921176544918,0.0,0.0,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",0.25,0.24324324324324323,0.2499999999999999,0.24999999999999983,0.27083333333333337,0.25265765765765763,0.009308806777097894,137,0.25,0.2598275862068966,0.25328767123287665,0.2549019607843137,0.2580915928015041,0.2552217622051182,0.003480210446273805
7,0.1061619758605957,0.03610668825834763,0.003323793411254883,0.006161167185790555,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 9}",0.25,0.24324324324324323,0.2499999999999999,0.24999999999999983,0.27083333333333337,0.25265765765765763,0.009308806777097894,137,0.25,0.2598275862068966,0.25328767123287665,0.2549019607843137,0.2580915928015041,0.2552217622051182,0.003480210446273805
8,0.10040302276611328,0.043991039510978595,0.003123950958251953,0.006247901916503906,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.25,0.24324324324324323,0.2499999999999999,0.24999999999999983,0.27083333333333337,0.25265765765765763,0.009308806777097894,137,0.25,0.2598275862068966,0.25328767123287665,0.2549019607843137,0.2580915928015041,0.2552217622051182,0.003480210446273805
9,0.11291975975036621,0.04152430595803062,0.0,0.0,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.25,0.24324324324324323,0.2499999999999999,0.24999999999999983,0.27083333333333337,0.25265765765765763,0.009308806777097894,137,0.25,0.2598275862068966,0.25328767123287665,0.2549019607843137,0.2580915928015041,0.2552217622051182,0.003480210446273805
10,0.09418892860412598,0.0332144312587648,0.0031243324279785155,0.006248664855957032,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",0.25,0.24324324324324323,0.2499999999999999,0.24999999999999983,0.27083333333333337,0.25265765765765763,0.009308806777097894,137,0.25,0.2598275862068966,0.25328767123287665,0.2549019607843137,0.2580915928015041,0.2552217622051182,0.003480210446273805
11,0.10651617050170899,0.03047662824238499,0.0,0.0,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 25}",0.25,0.24324324324324323,0.2499999999999999,0.24999999999999983,0.27083333333333337,0.25265765765765763,0.009308806777097894,137,0.25,0.2598275862068966,0.25328767123287665,0.2549019607843137,0.2580915928015041,0.2552217622051182,0.003480210446273805
