,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.16244721412658691,0.03217905200955774,0.0,0.0,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.315934065934066,0.375,0.36538461538461536,0.4134615384615385,0.4107692307692307,0.3753357254989908,0.03585967612010797,139,0.36011015683345776,0.3899981681626672,0.3875709836966479,0.37598461256640414,0.37867380261248185,0.37846754477433175,0.01057382676794619
1,0.1593299388885498,0.0333645093587179,0.0,0.0,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.3626373626373626,0.375,0.38461538461538464,0.46794871794871795,0.32375000000000004,0.3831077408985572,0.04707795939149223,124,0.3869025392083644,0.40227147829272764,0.42127679062099305,0.4784170308533746,0.36965811965811957,0.4117051917267158,0.03745452649733154
2,0.17183442115783693,0.019759900214957753,0.0,0.0,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.3846153846153846,0.32692307692307687,0.3076923076923077,0.38461538461538464,0.3930769230769231,0.3593155416012559,0.034968062938180944,161,0.38106796116504854,0.36252060816999454,0.36723758930207007,0.4352824954858295,0.357855587808418,0.3807928483862721,0.028329966686365594
3,0.18745594024658202,0.05227862772633074,0.003124237060546875,0.00624847412109375,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.3983516483516483,0.25,0.40384615384615385,0.4134615384615385,0.41307692307692306,0.3756270464229648,0.06307559850579006,136,0.4321828656780113,0.24999999999999997,0.4014471514929476,0.4111558893570252,0.4101052249637155,0.3809782262983399,0.06626501513743148
4,0.17183365821838378,0.027943759242508623,0.0031243324279785155,0.006248664855957032,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.44642857142857134,0.5053418803418803,0.375,0.3493589743589744,0.5152884615384616,0.4377214559816601,0.0665798805738568,26,0.3773805078416728,0.5044160364273939,0.41330568131264245,0.34133148404993063,0.4965479358168038,0.4265963290896887,0.06452606653583522
5,0.1937042236328125,0.015930742121357727,0.0,0.0,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.4423076923076923,0.5256410256410257,0.5801282051282052,0.4134615384615385,0.4315384615384615,0.47870329670329675,0.06365387858915304,2,0.43913901632348235,0.5044212702483448,0.4825818438751211,0.42113940282102963,0.40965166908563133,0.4513866404707218,0.03631121091424714
6,0.21244916915893555,0.062172021344492415,0.0,0.0,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.25,0.25,0.5438034188034189,0.4957264957264958,0.5152884615384615,0.4087980551194837,0.1327578590999925,77,0.24757281553398058,0.25,0.4422892732839611,0.4970062544160365,0.5197800757942267,0.391329683805641,0.11908319548758517
7,0.26556220054626467,0.05320496003721418,0.0031241893768310545,0.006248378753662109,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.4175824175824175,0.25,0.38461538461538464,0.40384615384615385,0.49528846153846157,0.38963214846378114,0.07905069272016062,109,0.4181292008961912,0.25,0.4069884594248032,0.4351503415068172,0.4966386469924205,0.4013813297640464,0.08178329992272618
8,0.2093249797821045,0.04260848964462481,0.003124380111694336,0.006248760223388672,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.3214285714285714,0.25,0.22115384615384612,0.3269230769230769,0.3930769230769231,0.3019315990132317,0.060349892311697254,232,0.3028846153846154,0.25,0.2640083217753121,0.41468217622275155,0.40325653120464444,0.32696632891746474,0.06925564267339394
9,0.21869778633117676,0.013971639719226341,0.0,0.0,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.4079670329670329,0.4134615384615385,0.20192307692307693,0.32051282051282054,0.32375000000000004,0.33421037975629814,0.07711723506161638,189,0.43470473701056217,0.43016120168529043,0.22572815533980586,0.35416088765603326,0.3555021367521367,0.36005142368876564,0.07561300550431212
10,0.2968050479888916,0.04634072803463286,0.003124237060546875,0.00624847412109375,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.4511599511599511,0.43269230769230776,0.36538461538461536,0.4957264957264958,0.41230769230769226,0.4317713737509656,0.04301846152857248,39,0.5225648138269496,0.4112932771569885,0.4169719728888076,0.49970952293722043,0.45675596677955166,0.4614591107179035,0.044079103528519764
