k,AP Analytics sse (left)
2,681.4858661583613
3,502.8323555719783
4,362.945338395236
5,300.0686132956996
6,243.87733308827922
7,214.35141284786647
8,187.93783472817807
9,170.9452512165873
10,157.27359292159278
15,117.74789399831116
20,92.12283387393236
25,76.47457941117781
30,67.08731367227487
35,56.549489861394285
40,49.91090865313619
