k,AP Analytics log-likelihood
2,8.621294816528886
3,8.713803126026283
4,8.733363377684416
5,8.870028365120222
6,8.884385054566954
7,8.88040681581126
8,8.983678302967164
9,8.978297513501197
10,8.996748106767674
15,9.51354495603855
20,9.701087132300456
25,10.112399341863446
30,10.628801548195408
35,11.297905851416285
40,11.709203935723878
