k,Attractiveness Analytics sse (left)
2,134808.40900740106
3,117705.11182593368
4,105565.27691451297
5,98145.98386904005
6,92275.71876281142
7,87046.14854514983
8,83444.39926801114
9,79855.12827388568
10,76405.20446363189
15,65613.3262431753
20,59265.53578367993
25,54953.783127353054
30,51558.23277485375
35,48580.628860067176
40,46217.182986604676
