k,Attractiveness Analytics BIC
2,92090.48672656144
3,91345.55494439526
4,91519.17378468705
5,88554.1822603633
6,91128.64603769765
7,74077.8373151835
8,81155.93503000707
9,55291.42988788803
10,60193.826638474464
15,40737.78536686819
20,42426.02293515441
25,21168.49772216093
30,18246.452289048313
35,17769.716015749742
40,19479.08348452778
