,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
81,2.358955002,0.972779212,0.003124332,0.006248665,0.01,"(50, 50)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.666916448,0.652529037,0.652219706,0.648551603,0.689564436,0.661952436,0.015161315,244,0.6717857,0.674254767,0.663659857,0.675243788,0.67296395,0.671581613,0.004129504
82,2.44101243,0.689954166,0.009372568,0.018745136,0.01,"(50, 50)",9,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.64536031,0.661927064,0.683180459,0.667541696,0.679321155,0.66745806,0.013470132,169,0.668097946,0.680711695,0.669348009,0.68710082,0.673661009,0.675783896,0.007174358
83,2.367639542,0.821872848,0.003124475,0.006248951,0.01,"(50, 50)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.68277757,0.663382041,0.688409062,0.665740083,0.680963926,0.676254425,0.009887292,43,0.673711679,0.684743249,0.686004178,0.678658333,0.667161817,0.678055851,0.00701159
84,2.99929266,0.760483888,0.006248188,0.007652436,0.01,"(50, 50)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.658423879,0.661196453,0.689693792,0.676138026,0.699138904,0.676906852,0.015791729,36,0.67236322,0.681387425,0.680839032,0.69054455,0.686142658,0.682255377,0.006073475
85,3.342961931,1.36133055,0.003124189,0.006248379,0.01,"(50, 50)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.667341077,0.657755714,0.674719174,0.666066129,0.706010952,0.674369021,0.016702733,55,0.6783754,0.678040601,0.665452054,0.682557561,0.688281129,0.678541349,0.007517995
86,3.574155855,0.755361235,0.003124046,0.006248093,0.01,"(50, 50)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.661970776,0.652204321,0.692782568,0.659185721,0.683022614,0.669827479,0.015405745,140,0.672377306,0.664300635,0.684547268,0.680640455,0.674127843,0.675198701,0.006998332
87,9.350915623,0.786209964,0.009372473,0.007652592,0.01,"(50, 50)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.668989634,0.68014862,0.695587702,0.675567446,0.696183589,0.683290783,0.010876331,7,0.680956894,0.700417672,0.688563938,0.696926349,0.680721235,0.689517218,0.008065635
88,7.69299283,2.715614387,0.006248379,0.00765267,0.01,"(50, 50)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.66325715,0.667721993,0.697600307,0.658949546,0.701910296,0.67788176,0.018116783,25,0.682262313,0.6864209,0.692461197,0.69943133,0.686842713,0.689483691,0.005938431
89,8.42518816,1.667171085,0.015618229,0.009876086,0.01,"(50, 50)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.675227926,0.672243037,0.701022779,0.686784684,0.692503031,0.685549798,0.0107064,2,0.6893608,0.691526108,0.680196876,0.6890733,0.685942921,0.687220001,0.003937398
90,0.508250427,0.033328226,0.006248379,0.00765267,0.01,"(50,)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.608929687,0.637741976,0.65982798,0.642649333,0.652562388,0.640332366,0.017485503,295,0.638559002,0.651141189,0.645347588,0.648183973,0.638879088,0.644422168,0.005005103
