k,AP Analytics BIC
2,-3921.8652585191944
3,-3813.159100277666
4,-3668.7083936948993
5,-3581.6390076431912
6,-3434.6385555768375
7,-3278.653988691295
8,-3175.221787502436
9,-3018.5499707688596
10,-2873.5555315741813
15,-2356.6098382406485
20,-1678.3293551327206
25,-1109.6961883423241
30,-592.5571199687238
35,-150.24207907069103
40,418.39800909484984
