k,Attractiveness Analytics log-likelihood
2,-9.33542861246841
3,-9.228201730877213
4,-9.21470450463887
5,-8.880940914664249
6,-9.112427865675144
7,-7.341335990170889
8,-8.032377424599055
9,-5.361928771584096
10,-5.830959903539084
15,-3.689582397544794
20,-3.7057843650089213
25,-1.3805819670363453
30,-0.9263468935414076
35,-0.7216331628846383
40,-0.7399912426438491
