k,AP Analytics log-likelihood
2,8.239280159349606
3,8.33268570109618
4,8.3786703034629
5,8.451590332189319
6,8.51744654396417
7,8.567819889497715
8,8.702217236029114
9,8.801923927444541
10,8.879981335841872
15,9.039376339982493
20,9.283987343921714
25,9.71066528873044
30,9.994360385024963
35,10.438539874529159
40,10.639446726134338
