k,Attractiveness Analytics log-likelihood
2,13.123516482988471
3,13.271903239493097
4,13.373795056415133
5,13.46957222620671
6,13.511751799511813
7,13.544734565089872
8,13.588452143479357
9,13.611296599093267
10,13.61939429456522
15,13.710195682759974
20,13.731657450697037
25,13.759955348841494
30,13.780979071935263
35,13.795227438518754
40,13.81572334364034
