k,AP Analytics sse (left)
2,2.1132661584306307
3,1.8079830489079813
4,1.5224827415990576
5,1.3274237553252073
6,1.1892119909101053
7,1.0769034360985865
8,0.9856958057042621
9,0.9128795144895925
10,0.8259582402359843
15,0.6096235294214525
20,0.4690943174772325
25,0.390182590597251
30,0.3172370840742492
35,0.2816758976005238
40,0.24236523833903362
