k,Attractiveness Analytics sse (left)
2,2.280216940210675
3,1.7693773449530534
4,1.409166281334495
5,1.0912351948609782
6,0.9446508887286824
7,0.8592543900374132
8,0.7946720171914892
9,0.733027072102159
10,0.6900652952637293
15,0.5360216975438525
20,0.4537714263739061
25,0.3999156511080939
30,0.35673980544241257
35,0.32535159417369375
40,0.2975632698435847
