k,AP Analytics BIC
2,-3877.71078997551
3,-3840.96063227316
4,-3780.9742142746827
5,-3734.1861551924567
6,-3683.9368258039626
7,-3626.1008919572287
8,-3609.4367185994433
9,-3575.774124234831
10,-3531.503381191353
15,-3197.0125674294027
20,-2904.277593568767
25,-2700.7554207341873
30,-2427.1716521276494
35,-2232.225236193851
40,-1918.0752276895337
