k,Attractiveness Analytics BIC
2,-128364.04880924815
3,-129690.78416573201
4,-130561.86911430648
5,-131373.03052100245
6,-131658.93548213097
7,-131854.71172753448
8,-132155.68913848995
9,-132252.1099462448
10,-132204.01250460843
15,-132456.59182260963
20,-132029.64286208546
25,-131669.6879775937
30,-131238.44617760525
35,-130740.80588381607
40,-130304.3914677002
