,0,1,2,3,4,5,6,7,8,9
2,0.9439979322838659,0.9511864961108037,0.9532889867202538,0.9421242636212804,0.9461851802000599,0.9431901354233395,0.9526866171415166,0.9471209608240216,0.9341817292809937,0.9503909983094234
3,0.928563878319151,0.921308363035884,0.9242609786893321,0.9100941803143084,0.9241483643052385,0.9313328195542601,0.92735613267786,0.9300120893173298,0.9252314117827602,0.9311640644060137
4,0.8837372656475035,0.9026879932508057,0.9015641299256167,0.8886443902384678,0.8994782865814202,0.8963309481647663,0.8992270430176768,0.9028861919269057,0.9049664720558299,0.907023469685889
5,0.8799057080703998,0.873854433495858,0.8820146920758366,0.8656101620863298,0.853455737850411,0.8848630985732414,0.865967791393431,0.8838794935832114,0.8757651222859559,0.8566888702862507
6,0.8526850939338254,0.8538153382901206,0.8392212925912172,0.8467274085337347,0.8474538007227684,0.8663647695530664,0.8251321732852426,0.8636599374382103,0.8636031384114861,0.8311248996706384
7,0.8299836174536386,0.8251549869486868,0.8196468926104424,0.8215876113443342,0.8297550084300789,0.8331430486879033,0.8213721525117958,0.8240635006454466,0.8201299799150186,0.817248617086534
8,0.7967013009304047,0.8134682670027892,0.8025816335700815,0.7972481378742098,0.8049828840581037,0.8053620959218811,0.8070475230984195,0.7714603995525762,0.787994521658777,0.7938546270446593
9,0.7937524976903917,0.7642556962546453,0.7642126982600064,0.7716162567425637,0.7569022348940767,0.7522489759075155,0.7705848340543411,0.7720125056392395,0.7460492198765867,0.7551226154085017
10,0.7351199039973669,0.7493425603736595,0.7513544318463893,0.7498604596715466,0.7372427850462133,0.727876610921051,0.7365660372595326,0.7438929767147547,0.7505580275277037,0.7728966936736
15,0.6113217440577545,0.6296843726091551,0.6156004788509091,0.6134948112792723,0.6221482204054768,0.5881741001981698,0.6228498297020693,0.6006471309833532,0.6124672380745823,0.6247223231279239
20,0.47699604396237383,0.47271810857142277,0.4901056023150055,0.5093832415805843,0.49273992512567927,0.46156477756871256,0.49134542215621174,0.495417007978678,0.4947246948846757,0.4698262136665072
25,0.3603910889646629,0.36606025675152926,0.3415453406247702,0.3672601246396021,0.3700205904171193,0.3759501921075497,0.3582436019013591,0.36729870557152694,0.36112688413141525,0.36914589394207703
30,0.23459902464176616,0.2179841286737158,0.23129256727804623,0.21250200246195686,0.2191506214497412,0.23528081117875052,0.21318726187261616,0.21867662464737272,0.2706994835169754,0.23550017786158922
35,0.09325065203209354,0.10293342372935617,0.10071387185672055,0.09394981889754457,0.09737597417808132,0.11665257896956552,0.0916932298761335,0.1089067911023959,0.11313856105347461,0.0993273542324103
40,4.112372789866651e-29,1.8880749906231667e-28,7.277219703174943e-29,3.331953341412215e-29,2.858379825891582e-29,2.137273515374164e-29,1.9661606262546565e-28,4.1114456553748617e-29,1.5615073641942843e-29,5.751674193768313e-29
45,9.065940922474863e-30,9.036072759978445e-30,6.879208286478983e-30,7.497254000725445e-30,1.1557140640303498e-29,9.350483591659405e-30,1.308647222914419e-29,6.848157481656068e-30,1.1307905106515846e-29,1.6507504845803423e-29
50,6.037231201295025e-30,5.089284952501531e-30,5.402912787134303e-30,5.0634291355902926e-30,6.923213437907918e-30,5.3166302169818835e-30,5.998555313895676e-30,7.303790581895622e-30,4.660133304341041e-30,4.9994805125668526e-30
55,3.165134440398518e-30,9.57686762662092e-30,4.946147434796851e-30,4.474307401270561e-30,5.395694887065305e-30,3.627133398012171e-30,3.3710669025290055e-30,8.257610493738189e-30,6.91606777502668e-30,6.471629390208441e-30
60,3.884299420304494e-30,4.67087273838913e-30,5.7843303702653574e-30,2.8508969452344272e-30,6.475084189656754e-30,7.977515196090604e-30,3.2762535801856e-30,2.999169392877147e-30,3.2121095253610924e-30,5.8602399917904465e-30
