,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.07806973457336426,0.018369808507832288,0.003124427795410156,0.006248855590820312,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.3709199584199585,0.4911382536382537,0.44615384615384607,0.4382309941520465,0.5423976608187133,0.45709059724849194,0.05720909705055231,236,0.48305039787798415,0.4551989389920426,0.4941148577449947,0.44818388600454917,0.43889209056259915,0.463888034236434,0.02110817324047404
1,0.06560988426208496,0.022957717501828123,0.0,0.0,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.3912162162162163,0.5612785862785864,0.44123931623931617,0.4736842105263156,0.5917397660818713,0.4911863095020989,0.07476261775842909,186,0.4481299734748011,0.5527365163572061,0.5241412012644888,0.45280874617924155,0.5611138594504909,0.5077860593452457,0.04840091334093278
2,0.06880030632019044,0.01510014629891633,0.00019993782043457032,0.0003998756408691407,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.37629937629937626,0.3918918918918919,0.4058760683760683,0.4528508771929823,0.516081871345029,0.42745292284765957,0.05042818984280508,275,0.4401414677276747,0.36377099911582683,0.5061134527572884,0.4796433052152715,0.4724756644464619,0.4524289778525047,0.04906267869113457
3,0.07488451004028321,0.02503218873525592,0.0,0.0,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.4619802494802495,0.5555873180873181,0.4607905982905982,0.5354532163742689,0.551535087719298,0.5126726040673408,0.042896247040547716,152,0.5569053934571176,0.500238726790451,0.5506866877414822,0.544829948625887,0.5233831264428782,0.5352087766115632,0.020811661408070538
4,0.08402280807495117,0.021482930265537124,0.0001995086669921875,0.000399017333984375,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.40324844074844074,0.6200363825363826,0.49113247863247866,0.4999999999999998,0.5562865497076022,0.5139521890311363,0.07298177870837133,141,0.5586295313881521,0.5079664014146775,0.5237548296452407,0.5099288718435181,0.49216680776697713,0.5184892884117132,0.02243145069118556
5,0.04998812675476074,0.0062472343863377,0.0,0.0,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.36143451143451144,0.39797297297297296,0.3722222222222221,0.3421052631578945,0.40095029239766083,0.37503049203049194,0.022114034976271613,337,0.3685809018567639,0.35896551724137943,0.40806111696522657,0.3629337984543565,0.3943192675023885,0.378572120404023,0.019216524186033937
6,0.055718851089477536,0.008511824478184419,0.0001998424530029297,0.0003996849060058594,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.3912162162162162,0.4614864864864865,0.3541666666666666,0.39948830409356706,0.3855994152046784,0.3987777890672627,0.03539179478719731,307,0.4083112290008842,0.3856321839080461,0.416622760800843,0.4003381307438876,0.3883518293740246,0.3998512267655371,0.01172612798288271
7,0.0718461513519287,0.03507611293212056,0.0,0.0,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.3959199584199584,0.6008316008316009,0.37061965811965797,0.3841374269005846,0.45285087719298245,0.441784837179574,0.08555000605610324,256,0.4403315649867374,0.543638373121132,0.4322374429223745,0.3966121475467246,0.42829086723990795,0.4482220791633752,0.04996574068814631
8,0.06934814453125,0.037656182898600364,0.0,0.0,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.4614345114345114,0.38749999999999996,0.39861111111111097,0.42580409356725124,0.3940058479532164,0.41363753892701255,0.027555379260542134,287,0.5745092838196286,0.3861184792219276,0.44099051633298203,0.41102392925264436,0.41087220391884854,0.4447028825092062,0.06719286048183554
9,0.07457866668701171,0.02264902820774063,0.0031242847442626955,0.00624856948852539,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.4931392931392931,0.5207900207900208,0.4931623931623933,0.42361111111111094,0.5347222222222222,0.49340269940269943,0.037846653769345505,182,0.5802917771883289,0.4760742705570293,0.5785089567966281,0.506823815012393,0.5095263959580711,0.5302450431024901,0.04182432263802775
10,0.04374995231628418,0.018215669513396114,0.0031241893768310545,0.006248378753662109,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.4729209979209979,0.4662162162162163,0.6416666666666665,0.4660087719298243,0.4597953216374269,0.5013977841346262,0.07025735151420053,169,0.514946949602122,0.49084880636604783,0.46000175623463296,0.488020923646032,0.48459626611178547,0.487682940392124,0.017488502810254856
