k,Attractiveness Analytics sse (left)
2,47461.17798299897
3,38807.36472494741
4,31763.471762387482
5,26759.843026000948
6,24136.411175598623
7,22096.47516189589
8,20591.46288358364
9,19575.43220303867
10,18425.481841501285
15,14780.130179429654
20,12753.292418491928
25,11491.447143587471
30,10494.461121468148
35,9759.278864845253
40,9164.276695263505
