k,Attractiveness Analytics BIC
2,79326.4297746097
3,78192.04881631555
4,76853.4881705327
5,75970.65798744958
6,75661.98179880489
7,74992.780872132
8,74769.68977929231
9,74618.48813059385
10,74619.4300189482
15,74247.73737611553
20,73975.9225384782
25,74528.26230655945
30,74659.255333189
35,75279.78998460335
40,75925.12996614733
