k,AP Analytics sse (left)
2,337.9674827333568
3,171.80007299070797
4,91.42863933324682
5,57.62289386099446
6,42.03841993753967
7,31.651785233312342
8,23.063574256690814
9,18.322025044829893
10,13.892823664818277
15,5.820014546121371
20,3.240735594964669
25,2.095761179558979
30,1.3336953042104756
35,0.8180922498571362
40,0.5900320155837427
