k,AP Analytics BIC
2,1081.9654084315048
3,1095.718295982474
4,1106.3933849233333
5,1117.8677924816345
6,1133.1127043624406
7,1148.8712279866859
8,1163.1499049800173
9,1171.3402856904595
10,1186.1847862723862
15,1248.8719222268055
20,1306.0373272173683
25,1363.7628808074935
30,1423.0282920195357
35,1477.4446552933252
40,1549.2969458333087
