k,Attractiveness Analytics log-likelihood
2,-8.058985016812414
3,-7.925024021051167
4,-7.770228363301276
5,-7.661935813990134
6,-7.612230406968628
7,-7.525736761372816
8,-7.4847645273926355
9,-7.451127950977886
10,-7.433016225282814
15,-7.304049220827402
20,-7.185273829147024
25,-7.150595846213442
30,-7.072923297825603
35,-7.045203976456622
40,-7.020015811223316
