k,AP Analytics log-likelihood
2,-2.151957382405676
3,-2.1463433271390127
4,-2.134448050219064
5,-2.1241840357836903
6,-2.121614928128939
7,-2.120094007705697
8,-2.1155529921173235
9,-2.0985868820740747
10,-2.095200608503243
15,-2.0547276754343624
20,-2.0029859036637334
25,-1.9523872923003749
30,-1.904931247512357
35,-1.8475791865238238
40,-1.825810650568339
