Cov,n_init,max_iter,norm,error,log-lklhd
full,5,100,True,0.7993333333333322,8.240705263553684
full,5,100,False,3.514,-4.300238325307311
full,5,200,True,0.7993333333333322,8.240705263553684
full,5,200,False,3.514,-4.300238325307311
full,5,300,True,0.7993333333333322,8.240705263553684
full,5,300,False,3.514,-4.300238325307311
full,5,500,True,0.7993333333333322,8.240705263553684
full,5,500,False,3.514,-4.300238325307311
full,10,100,True,0.7993333333333322,8.240705263553684
full,10,100,False,3.514,-4.300238325307311
full,10,200,True,0.7993333333333322,8.240705263553684
full,10,200,False,3.514,-4.300238325307311
full,10,300,True,0.7993333333333322,8.240705263553684
full,10,300,False,3.514,-4.300238325307311
full,10,500,True,0.7993333333333322,8.240705263553684
full,10,500,False,3.514,-4.300238325307311
full,15,100,True,0.7993333333333322,8.240705263553684
full,15,100,False,3.514,-4.300238325307311
full,15,200,True,0.7993333333333322,8.240705263553684
full,15,200,False,3.514,-4.300238325307311
full,15,300,True,0.7993333333333322,8.240705263553684
full,15,300,False,3.514,-4.300238325307311
full,15,500,True,0.7993333333333322,8.240705263553684
full,15,500,False,3.514,-4.300238325307311
full,20,100,True,0.7993333333333322,8.240705263553684
full,20,100,False,3.514,-4.300238325307311
full,20,200,True,0.7993333333333322,8.240705263553684
full,20,200,False,3.514,-4.300238325307311
full,20,300,True,0.7993333333333322,8.240705263553684
full,20,300,False,3.514,-4.300238325307311
full,20,500,True,0.7993333333333322,8.240705263553684
full,20,500,False,3.514,-4.300238325307311
tied,5,100,True,0.7993333333333322,8.190501008312483
tied,5,100,False,3.514,-4.3504425811316345
tied,5,200,True,0.7993333333333322,8.190501008312483
tied,5,200,False,3.514,-4.350442581131635
tied,5,300,True,0.7993333333333322,8.190501008312483
tied,5,300,False,3.514,-4.3504425811316345
tied,5,500,True,0.7993333333333322,8.190501008312483
tied,5,500,False,3.514,-4.3504425811316345
tied,10,100,True,0.7993333333333322,8.190501008312483
tied,10,100,False,3.514,-4.3504425811316345
tied,10,200,True,0.7993333333333322,8.190501008312483
tied,10,200,False,3.514,-4.3504425811316345
tied,10,300,True,0.7993333333333322,8.190501008312483
tied,10,300,False,3.514,-4.3504425811316345
tied,10,500,True,0.7993333333333322,8.190501008312483
tied,10,500,False,3.514,-4.3504425811316345
tied,15,100,True,0.7993333333333322,8.190501008312483
tied,15,100,False,3.514,-4.3504425811316345
tied,15,200,True,0.7993333333333322,8.190501008312483
tied,15,200,False,3.514,-4.3504425811316345
tied,15,300,True,0.7993333333333322,8.190501008312483
