tresh,norm,error
0,True,0.7993333333333322
0,True,0.7993333333333322
0.035,True,0.7993333333333322
0.035,True,0.7993333333333322
0.04,True,0.7993333333333322
0.04,True,0.7993333333333322
0.045,True,0.7993333333333322
0.045,True,0.7993333333333322
