,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.0718581199645996,0.025382055771967435,0.0,0.0,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.40659340659340654,0.32051282051282054,0.35683760683760685,0.3376068376068377,0.44153846153846155,0.3723325608631732,0.044602555054306325,73,0.45883121732636295,0.36435506241331483,0.36477115117891823,0.37961165048543694,0.4595881712626995,0.40543145053334656,0.0442530838988627
1,0.059360837936401366,0.006248760237943474,0.0,0.0,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.25,0.25,0.25,0.25,0.25000000000000006,0.25,2.4313423840517682e-17,209,0.25,0.25,0.25000000000000006,0.25000000000000006,0.25,0.25,3.510833468576701e-17
2,0.07810463905334472,0.009880308286812856,0.003124523162841797,0.006249046325683594,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.25000000000000006,0.24999999999999997,0.24999999999999997,0.24999999999999997,0.25,0.25,3.3221616038539036e-17,209,0.25,0.24999999999999997,0.25,0.25,0.25,0.25,1.2412670766236365e-17
3,0.12809414863586427,0.04570412392851255,0.0,0.0,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.6021062271062271,0.46153846153846156,0.5341880341880342,0.25,0.5910576923076923,0.4878682751488874,0.1290089238333535,12,0.5681278672783527,0.4475636563473164,0.5341860099965982,0.25,0.5829049750040315,0.4765565017252597,0.12262536975575407
4,0.11247320175170898,0.026875653526259133,0.0,0.0,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.5273199023199022,0.5331196581196581,0.607905982905983,0.5683760683760685,0.25000000000000006,0.49960815828162763,0.12501276171038816,8,0.5635482236210391,0.5588608588700181,0.5298733415329863,0.5914649464841809,0.25,0.4987494741016449,0.1258994927129526
5,0.07498235702514648,0.015305417543948173,0.006248950958251953,0.007653370651065667,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.25,0.32158119658119655,0.3194444444444445,0.2756410256410256,0.25000000000000006,0.2833333333333333,0.03177516391322511,181,0.25,0.3459084604715672,0.295492371705964,0.25561719833564495,0.25,0.2794036061026352,0.037354200115668645
6,0.08435468673706055,0.007652650399813895,0.0031246185302734376,0.006249237060546875,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.3173076923076923,0.30769230769230765,0.4423076923076923,0.23076923076923075,0.25000000000000006,0.3101648351648352,0.07388731028683161,150,0.3867625093353248,0.3605055871038652,0.4265433229529219,0.2735849056603774,0.25,0.33947926501049785,0.06724071246059012
7,0.11559739112854003,0.012497353565939041,0.0,0.0,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.18055555555555558,0.33226495726495725,0.34615384615384615,0.3952991452991453,0.365,0.3223490319204605,0.07570678673645191,130,0.25977808599167823,0.3541608876560333,0.35377358490566047,0.3852981969486824,0.29513888888888884,0.32962992887818865,0.04550286129264127
8,0.09685206413269043,0.018217030680164323,0.0031246185302734376,0.006249237060546875,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.4162087912087912,0.3942307692307693,0.47115384615384615,0.4519230769230769,0.43153846153846154,0.4328858488450325,0.02687857312068998,24,0.4588778939507095,0.3948525370947061,0.4257189961531417,0.4395951639494415,0.4523766328011611,0.43428424478983196,0.02275350962503543
9,0.14059104919433593,0.019760013294025495,0.0,0.0,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.26785714285714285,0.2692307692307692,0.375,0.3557692307692307,0.43153846153846154,0.33854294684906927,0.06312787008352017,111,0.27403846153846156,0.3113207547169811,0.32721194357941014,0.3451181535079686,0.4523766328011611,0.3420131892287965,0.05995230853592909
10,0.14059162139892578,0.03276804763176096,0.0031242847442626955,0.006248569488525391,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.22115384615384615,0.23076923076923075,0.19230769230769232,0.25,0.26846153846153853,0.23215227629513346,0.025684624058075887,297,0.23058252427184467,0.22815533980582525,0.22330097087378648,0.24271844660194178,0.35864477503628445,0.2566804113179365,0.05138216496922725
11,0.15621256828308105,0.02794453225055143,0.0031246185302734376,0.006249237060546876,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.2757936507936508,0.4198717948717949,0.47649572649572647,0.34615384615384615,0.3646153846153846,0.37586100520794397,0.06854239990514109,70,0.2958791208791209,0.41695234606024123,0.43110721482218095,0.36993954936801615,0.37264150943396224,0.3773039481127043,0.04727105279500348
