,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.09372754096984863,0.032767683943551715,0.0031244754791259766,0.006248950958251953,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.25,0.3942307692307693,0.35683760683760685,0.3461538461538462,0.34750000000000003,0.33814852607709756,0.04843506520271994,173,0.24500693481276004,0.33366917017768827,0.38176144244105414,0.3549642791720096,0.34909188034188027,0.3328987413890785,0.046609510799099245
1,0.16558442115783692,0.021189916064854753,0.003124046325683594,0.006248092651367187,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.4285714285714285,0.36538461538461536,0.4326923076923077,0.40384615384615385,0.403076923076923,0.40692240412648584,0.024087064366495305,142,0.3869958924570574,0.4196739329547536,0.42411613848690244,0.4125297673566588,0.4221244557329462,0.41308803739766364,0.013621758941442809
2,0.15933732986450194,0.04779217960356614,0.0031241893768310545,0.006248378753662109,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.40659340659340654,0.24999999999999997,0.5438034188034189,0.5715811965811967,0.25,0.4056739179188159,0.13717539402472934,145,0.45883121732636295,0.24999999999999997,0.5441721403710781,0.5014523853138986,0.25,0.40089114860226793,0.12612322065979975
3,0.2530648231506348,0.05709882296289389,0.0031246662139892576,0.006249332427978514,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.5636446886446885,0.46047008547008556,0.5267094017094016,0.6260683760683761,0.4825,0.5325409160000997,0.058965099092275444,14,0.5868491944948255,0.4481092821814566,0.5044291209797713,0.5852929631277315,0.5410468069666183,0.5331454735500806,0.05238638015695508
4,0.18433127403259278,0.018216556397540978,0.0,0.0,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.5636446886446885,0.4134615384615385,0.5993589743589743,0.4946581196581197,0.5365384615384614,0.5217536318556726,0.06406261025146008,24,0.5914248372986236,0.4243909140868291,0.5774540077983933,0.539592547038966,0.5974086840832123,0.5460541980612048,0.06407095097201382
5,0.146840238571167,0.03061077667051867,0.0,0.0,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.25,0.21153846153846154,0.5715811965811965,0.25,0.403076923076923,0.3359897087039944,0.1344609385035875,177,0.25,0.22572815533980586,0.5503938450265617,0.25000000000000006,0.43387155297532654,0.3419987106683388,0.12830862694567757
6,0.1780827522277832,0.04025373003479297,0.0,0.0,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.3946886446886446,0.591880341880342,0.47115384615384615,0.38568376068376065,0.4988461538461538,0.4676002840696718,0.07568094042646907,84,0.4547996906006614,0.5545678172349724,0.44229712401538757,0.38287101248266303,0.5409913723592968,0.47510540333859624,0.06426682527485854
7,0.24994096755981446,0.04418421031961449,0.0,0.0,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.36111111111111105,0.48931623931623935,0.5705128205128205,0.5608974358974359,0.4748076923076923,0.490400924472353,0.07618426434142281,64,0.35700416088765596,0.44783712349200533,0.566557192578442,0.5099665035459138,0.5863771972262538,0.49354843554605415,0.08360726469276729
8,0.13746728897094726,0.0333580942571214,0.0,0.0,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.25,0.25,0.25,0.6068376068376069,0.25000000000000006,0.3213675213675214,0.14273504273504276,200,0.25,0.25,0.25000000000000006,0.5712780990762307,0.25,0.31425561981524613,0.12851123963049227
9,0.24994072914123536,0.06478555858178336,0.0,0.0,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.39972527472527464,0.5085470085470086,0.5438034188034189,0.5395299145299145,0.48403846153846153,0.4944405447160549,0.05312187631684493,57,0.4180825242718446,0.4905568785491848,0.5264046266977208,0.5289600397770393,0.5955390259635542,0.5119086190518687,0.057886376688809076
10,0.20620102882385255,0.02499363423820932,0.0,0.0,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.5732600732600733,0.48931623931623935,0.5534188034188035,0.4423076923076923,0.535,0.5189728887892153,0.0474496833415903,27,0.575406753440734,0.44985214455813466,0.5420197315049853,0.4495786774134458,0.553600225770037,0.5140915065374673,0.05364528851099562
11,0.28118395805358887,0.022092063030353996,0.0,0.0,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.5273199023199022,0.5064102564102565,0.6185897435897436,0.42307692307692313,0.48403846153846153,0.5122403752709875,0.06370848897848992,43,0.5539781820121625,0.5501256117028236,0.5759924632978306,0.45457043414544807,0.5979428721174004,0.546521912655133,0.04906380626668074
