,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
264,0.359290075,0.026139841,0.021869993,0.012497258,0.0001,"(25,)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 15}",0.754208817,0.730760584,0.756065972,0.742164444,0.759198261,0.74847627,0.010576457,52,0.747289387,0.753160187,0.74661949,0.750303058,0.746045528,0.74868353,0.0026768
265,0.453018093,0.03276757,0.012496138,0.006248069,0.0001,"(25,)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 20}",0.754208817,0.730760584,0.755004401,0.741182126,0.759198261,0.748067693,0.010553078,61,0.747289387,0.753160187,0.74715084,0.750363643,0.745779994,0.74874881,0.002667029
266,0.512377501,0.028634548,0.012496996,0.015305632,0.0001,"(25,)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 25}",0.744904459,0.732565255,0.755083653,0.742245956,0.758378966,0.746630932,0.009268886,116,0.74505704,0.748167144,0.746946174,0.750158695,0.746126309,0.747291072,0.001758254
267,0.687338495,0.064786294,0.012495327,0.006247664,0.0001,"(25,)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 30}",0.743430748,0.7318284,0.759044211,0.721792835,0.75592944,0.742404624,0.014121238,273,0.743907739,0.746321897,0.73951119,0.737999517,0.742669159,0.7420819,0.002997684
268,0.868545628,0.147404186,0.006248569,0.007652903,0.0001,"(25,)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 35}",0.754208817,0.730104908,0.749427502,0.742245956,0.758215943,0.74683733,0.009917286,108,0.747575277,0.75131494,0.746474529,0.750649372,0.746085918,0.748420007,0.00215857
269,0.902913189,0.103337652,0,0,0.0001,"(25,)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 40}",0.747027601,0.732484076,0.756065972,0.724328053,0.759361284,0.743852545,0.013488702,240,0.744892444,0.748248007,0.747191512,0.750277651,0.746085918,0.747339106,0.001846053
270,0.28430891,0.006248593,0,0,0.0001,"(25, 25)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 2}",0.747027601,0.732565255,0.76568268,0.725391882,0.75592944,0.745319019,0.014761959,161,0.744892444,0.748513682,0.740228173,0.750297846,0.742669159,0.745320261,0.003690935
271,0.293680334,0.024993527,0.012497234,0.011690283,0.0001,"(25, 25)",3,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 3}",0.75633196,0.730841763,0.756065972,0.725391882,0.759361284,0.745599066,0.014422121,141,0.747124791,0.753506725,0.747191512,0.750297846,0.746371647,0.748898504,0.002669784
272,0.290555096,0.023379038,0.015622282,0.009880308,0.0001,"(25, 25)",4,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 4}",0.730467091,0.720419633,0.76568268,0.725391882,0.75592944,0.739571934,0.017889116,283,0.714694856,0.716924203,0.740228173,0.750297846,0.742669159,0.732962847,0.014411504
273,0.29992938,0.024994075,0.003124809,0.006249619,0.0001,"(25, 25)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 5}",0.75633196,0.730841763,0.756065972,0.725391882,0.75592944,0.744913398,0.013820561,202,0.747124791,0.753506725,0.747191512,0.750297846,0.742669159,0.748158006,0.003614327
274,0.299928522,0.011689035,0.006248474,0.007652787,0.0001,"(25, 25)",6,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 6}",0.754208817,0.730841763,0.75704829,0.725391882,0.75592944,0.7446848,0.013664775,213,0.747575277,0.753425862,0.746864829,0.750297846,0.742669159,0.748166594,0.003590771
