k,AP Analytics BIC
2,714.839725345757
3,729.4959811559334
4,745.6711452953366
5,760.9049111427483
6,770.7885791256452
7,756.2633343729077
8,769.192797600023
9,781.3671265942344
10,797.0131357748621
15,850.5510610596064
20,899.7575902928016
25,964.6442597663469
30,1009.2254122474114
35,1076.7785478476383
40,1160.4449838975108
