k,Attractiveness Analytics log-likelihood
2,0.688539033832801
3,3.8534806471272027
4,9.967863807459208
5,11.774823671474827
6,15.089278190587859
7,16.495827535634778
8,16.731635052857158
9,18.661036597876834
10,20.161086043045977
15,22.22379407084651
20,22.22379407084651
25,22.22379407084651
30,22.22379407084651
35,22.22379407084651
40,22.22379407084651
