k,AP Analytics log-likelihood
2,-1.4027212944755783
3,-1.3989508479011745
4,-1.3982802142435604
5,-1.395688359581882
6,-1.3821779378497652
7,-1.3188534084939043
8,-1.3115588954234576
9,-1.3027232920817786
10,-1.3009727503450306
15,-1.241827958766609
20,-1.1738435834095158
25,-1.1378594942572184
30,-1.0604355745080218
35,-1.0298932529611973
40,-1.0322352180463028
