,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
113,0.190580177,0.011690258,0.006248617,0.007652962,0.01,"(25,)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 10}",0.752735107,0.730104908,0.750409821,0.743391297,0.760669648,0.747457825,0.010285109,62,0.746140085,0.751805858,0.746719868,0.748478718,0.744160603,0.747461027,0.002572946
114,0.265561771,0.019759599,0.00312438,0.00624876,0.01,"(25,)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 15}",0.755189209,0.730760584,0.755004401,0.742245956,0.759361284,0.748509091,0.0105738,41,0.747309602,0.752874296,0.747171176,0.750363643,0.746085918,0.748760927,0.002501113
115,0.331170797,0.042379249,0.02186985,0.00765195,0.01,"(25,)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 20}",0.743842887,0.730841763,0.756065972,0.725391882,0.758215943,0.742869869,0.013117452,222,0.74534293,0.753015807,0.747191512,0.749807169,0.746085918,0.748288667,0.002806596
116,0.378035927,0.02499367,0.009373045,0.007653059,0.01,"(25,)",25,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 25}",0.74482328,0.730760584,0.755004401,0.726374201,0.759361284,0.743262678,0.012966095,207,0.745077256,0.752750132,0.747436851,0.749685998,0.746371647,0.748264377,0.002704366
117,0.399906063,0.033649997,0.018745136,0.006248379,0.01,"(25,)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 30}",0.75633196,0.730841763,0.755986719,0.742245956,0.759198261,0.748918019,0.010789996,1,0.747124791,0.753405646,0.746558481,0.750158695,0.746025333,0.748654589,0.002774232
118,0.524876738,0.090871734,0.012496471,0.006248236,0.01,"(25,)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 35}",0.75633196,0.730023729,0.755004401,0.724328053,0.759361284,0.745010429,0.014738241,131,0.7468389,0.751519968,0.746885165,0.749991922,0.746065723,0.748260336,0.002114308
119,0.518628645,0.070830825,0.015621042,2.28E-06,0.01,"(25,)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 40}",0.754208817,0.730841763,0.749427502,0.726374201,0.758378966,0.743846311,0.01283649,187,0.747084359,0.753425862,0.746474529,0.74948105,0.746126309,0.748518422,0.002719039
120,0.22807107,0.015929975,0.006248283,0.007652553,0.01,"(25, 25)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 2}",0.737067566,0.72260522,0.750662178,0.719583664,0.749138904,0.73580966,0.012940001,240,0.735781507,0.739116854,0.732382553,0.739864247,0.732766627,0.735982357,0.003105929
121,0.218699217,1.41E-06,0.009372616,0.012496483,0.01,"(25, 25)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 3}",0.746946422,0.732484076,0.763638791,0.725391882,0.754947122,0.744681473,0.014074289,141,0.744135851,0.747962116,0.740228173,0.749786974,0.742403625,0.744903348,0.003518545
122,0.281182623,0.022090546,0.009372187,0.007652358,0.01,"(25, 25)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 4}",0.736717872,0.713925315,0.751043844,0.70647494,0.710845212,0.723808237,0.017171977,289,0.726745954,0.732657186,0.723431736,0.734569207,0.719170597,0.727314936,0.005707843
123,0.290557337,0.03775043,0.009371328,0.007651658,0.01,"(25, 25)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 5}",0.737067566,0.72260522,0.74967986,0.709194081,0.738887263,0.731489164,0.014087557,273,0.735290589,0.739116854,0.732402889,0.724166357,0.731052905,0.732405919,0.004961431
124,0.306177092,0.007653235,0.009373569,0.007653488,0.01,"(25, 25)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 6}",0.75633196,0.730760584,0.755083653,0.742245956,0.758378966,0.748557462,0.010548039,13,0.746633873,0.75324105,0.746946174,0.750158695,0.746126309,0.74862122,0.002708748
125,0.293680525,0.030289899,0.00624876,0.007653137,0.01,"(25, 25)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 7}",0.75633196,0.730760584,0.755083653,0.725391882,0.758378966,0.745190087,0.014113197,119,0.746633873,0.75324105,0.746946174,0.74952144,0.746126309,0.748493769,0.002647713
126,0.296804237,0.009879554,0.012496662,0.011689621,0.01,"(25, 25)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 8}",0.75633196,0.730760584,0.755083653,0.742245956,0.758378966,0.748557462,0.010548039,13,0.746633873,0.75324105,0.746946174,0.750158695,0.746126309,0.74862122,0.002708748
127,0.31554966,0.054471851,0.012497044,0.006248522,0.01,"(25, 25)",9,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 9}",0.75633196,0.730760584,0.750409821,0.741182126,0.759361284,0.74760641,0.010463353,57,0.7468389,0.75324105,0.746719868,0.750629177,0.746085918,0.748702983,0.00277708
128,0.284308624,0.018217121,0.015620232,3.99E-07,0.01,"(25, 25)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 10}",0.752735107,0.730104908,0.750409821,0.743391297,0.760669648,0.747457825,0.010285109,62,0.746140085,0.751805858,0.746719868,0.748478718,0.744160603,0.747461027,0.002572946
