k,Attractiveness Analytics BIC
2,-6501.269807522587
3,-37390.24276054624
4,-97183.74287453842
5,-114764.49468463
6,-147118.6941146762
7,-160775.42283887454
8,-162958.8816503924
9,-181739.56193432375
10,-196312.59163971985
15,-215889.85602585768
20,-215252.58173955028
25,-214615.30745324286
30,-213978.03316693546
35,-213340.75888062807
40,-212703.48459432065
