k,Attractiveness Analytics sse (left)
2,7992.185486565943
3,4617.097525604826
4,2769.3667058179
5,1569.7743481912753
6,789.8243490315317
7,398.8236681283291
8,225.9422794134682
9,63.609090417987446
10,31.598901703358496
15,4.432010314303625e-13
20,2.8688162956314045e-13
25,9.547918011776346e-14
30,9.547918011776346e-14
35,9.547918011776346e-14
40,9.547918011776346e-14
